  PID  PPID  %CPU COMM
53649     1   0.0 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
53946     1   0.0 /System/Library/PrivateFrameworks/IMTranscoding.framework/XPCServices/IMTranscoderAgent.xpc/Contents/MacOS/IMTranscoderAgent
53947     1   0.0 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService
54272 51514   1.4 /Applications/World of Warcraft/_classic_beta_/World of Warcraft Beta.app/Contents/Helpers/WowVoiceProxy.app/Contents/MacOS/WowVoiceProxy
54631     1   0.0 /usr/libexec/trustd
56235     1   0.0 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
56236     1   0.0 /System/Library/ExtensionKit/Extensions/AskToExtension.appex/Contents/MacOS/AskToExtension
56656     1   0.0 /usr/libexec/ASPCarryLog
57047     1   0.0 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
57048     1   0.0 /usr/libexec/uarpd
